winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Matthiasson,Rosé 2019,Rosé wine,United States,4.1,164,24.99,100% Shiraz/Syrah,11.5,"Beautiful Rose, clean with a nice minerality, saline, and peach in the nose. Lemon drop, lemon peel with a balanced tartness and sweetness. Keep it ice cold and it’s a perfect summer drink!,Awesome Rosé! This wine was a beautiful copper/rose gold. The nose showed apricot, peach, salt ed watermelon, and a touch of a floral note. The palate had medium acidity and was perfectly balanced. An easy to drink (i.e. chuggable) weekday Rosé at 11.5% abv from a responsible and high quality producer. Highly recommended. Cheers!,Salmon in color. 11.5 abv, lovely Rose, my favorite I’ve had this year. Fresh, light and vibrant. Strawberry and watermelon with some floral notes"
Blandy's,Madeira N.V.,Fortified Wine,Portugal,4.5,36,32.95,,,"Just astoundingly good. A balance of sweetness and almond-like nuttiness. Brown sugar-almost caramel notes.,Very smooth. Light sweetness. Excellent at room temperature,1979 vintage"
David & Nadia,Aristargos 2016,White wine,South Africa,4.2,215,34.99,"50% Chenin Blanc, 20% Viognier, 12% Roussanne, 10% Sémillon, 8% Clairette",13,"12 different vineyard comprising 50 % Chenin Blanc 20 % Viognier 12 % Rousanne 10 % Semillion and 8 % Clairette Blanche. Citrus fruits peaches. Almost a leesy nose. Quite rich and full. Limey acidity Long memorable finish.,Bruised pear, honey and almonds. Salty minerality with an oily lingering finish, this wine will only get better with age. Fantastic and delicious!!!,A complex white Rhône blend bearing the same David & Nadia signature. An unusual naturalness and originality. For wine Connersiere a wonderful field of experimentation."
Reichsgraf von Kesselstatt,Goldtröpfchen Riesling Spätlese 2013,Dessert wine,Germany,3.9,109,39.99,100% Riesling,,"Decent Spatlese from Kesselstatt, an impressive wine for the difficult vintage. Lovely aromatics, spring flowers, pineapple and peach. The palate adds a pleasingly piercing green apple, lemon and lime acidity and is medium in body and sweetness. Plenty of characteristic Mosel slate minerality. Just 7.5% ABV. Paired very well with a Thai green curry. 3.75* now, rounded up to 4* as I love this type of wine, and it should get more interesting over the next 5-10 years.,Fun and delicious. Fills the mouth and senses with a blend of sweet and tart creamy fruit flavors; lemon, pineapple, mango, apricot and green apple. The flavors linger, inviting another sip and then another and another. Goes with so many foods.,Sweet, low alcohol German Riesling, very pleasant, strong notes of apple and honeysuckle, easy drinking mid-week wine"
Veritas,Mousseux Rosé N.V.,Sparkling wine,United States,4.0,25,,Cabernet Franc,,"Creamy, red fruit nose, like clotted cream and strawberry jam. Pleasant crispness on the tongue, thst opens up smoothly. Pairs beautifully with a variety of cheeses: Roquefort, smoked Jarlsberg, aged cheddar, and Manchego!,Fascinating 100% Merlot with great color and lovely character. Definitely shows Virginia can compete on the world stage.,Such a wonderful sparkling...and such a great weekend at the Farmhouse and Veritas. Reminds us of the trip every time we open a bottle."
Albino Rocca,Moscato d'Asti 2015,Sparkling wine,Italy,3.9,63,15.99,100% Moscato,,"All the residual sugar and low ABV you would expect. Concentrated white florals- lilies, acacia, magnolia... Matched with over-ripe white peach. For Md'A- a drier and easier to enjoy expression,Light, floral and sweet. Good enough.,Elegant noise, lucking in body."
Frog's Leap,PINK (La Grenouille Rouganté) 2018,Rosé wine,United States,3.8,108,21.99,Carignan,11.7,"Nose- Gravel with bright red fruits. Palate- red tart fruits, minerals, medium acid but slightly lower. Softer body Good stuff!,This bright rose is crisp and refreshing that was slightly dry with a snap of red fruit. This paired very well with the outdoor garden setting at Frog’s Leap’s vineyard.,Hints of strawberry and summer. Perfect way to kick of the season! Served with...nothing. Easy drinker by the pool with friends."
W. & J. Graham's,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.7,2677,,"Tinta Cão, Touriga Francesa, Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",19,"Dark ruby in color with a short purplish rim. Sweet nose of cooked cherries, black currants, sweet strawberries, black plums, dried figs, alcohol, leather, spices, cloves, wood, graphite, coke and peppercorn. Full bodied, rich and bold, with medium plus acidity and long legs. Sweet on the palate with sweet cherries, blackberries, figs, raisins, wood, vanilla, milk chocolates, tobacco, spices, mocha and peppercorn Long finish with soft tannins and tart cranberries. More >>>>,3.8 Spicy wooden nose, maybe cedar and earthy which carries over to the palate. Brown sugar, black currant and even eucalyptus.,Deep ruby colour and a very approachable port wine. Sweet and soft, this is one to simply enjoy at the end of a mellow evening."
Sparkling Pointe,Carnaval Rosé 2017,Sparkling wine,United States,4.3,33,33.99,"Pinot Meunier, Chardonnay, Pinot Noir",,"Simply amazing and well balanced with exquisite balance of dryness, fruit, that leaves you asking for more. Exceptional sparkling wine from Long Island With hints of strawberry and cherry. Very slow and long lasting Decrescendo Makes it that much more appealing,Berries abundant. Great balance. Pomegranate hits you as does cherry.,A wonderful brut rose. Strawberry notes and citrus. Lighttttt color."
J Vineyards,Brut Rosé N.V.,Sparkling wine,United States,4.1,606,,"66% Pinot Noir, 33% Chardonnay, 1% Pinot Meunier",12.5,"Delicious. Tart and crisp, neutral to semisweet aftertaste. Went out and bought another bottle immediately after this was consumed.,Dark peach color, with lovely effervescence, this flavor bomb is lovely as solitaire, but has enough substance to pair with filet mignon.,Really quite good! Super time and very delicate bubbles. Slightly herbaceous aroma with very delicate peach. My only gripe is that bubbles dissipate quicker than I’d like. Other than that, 👌"
Michele Chiarlo,Moscato d'Asti Nivole 2019,Sparkling wine,Italy,4.1,630,18.99,100% Moscato Bianco,,"4.4 scent: citrus orange peel elderflower honeysuckle palate: honey apple orange mandarin orange tangerine It's just so elegance sweet, try it😆👍,Glorious layers of cake 🎂 lychee 🌴 peach 🍑 tingles of jasmine candied ginger 🥰 auntie Christine loved it Auntie Christine made dum biriyani 🇮🇳 🥘 🤤 lazy Sunday Funday,Excellent. Much sweeter than I usually like but surprisingly good. Light effervescence. Big notes of apricot and peach with lighter notes of honey and pear. Nice minerality."
Epoch Estate,Estate Blend 2014,Red wine,United States,4.3,133,60,"Shiraz/Syrah, Grenache, Zinfandel, Mourvedre, Petite Sirah",15.6,"Drank at home with Scott and Dan. Got from California wine merchant. Earthy, leather, dark fruit. Smooth balanced easy to drink slightly spicy on the palate.,Very tasty, smooth and balanced. A palatable wine. Can definitely taste the earthy elements and aromas of red plum, red berries and sweet leather. Nice and soft on the placate.,A GSM blend with a killer Zinfandel kicker. Full bodied. Well-integrated tannins. Plum, blackberry, cassis, leather, licorice, and black pepper. Beautifully balanced with a long finish. Fantastic wine from an underrated Paso winery."
Domaine des Schistes,Solera Rivesaltes N.V.,Dessert wine,France,4.0,206,,"Grenache Gris, Macabeo",16,"Very special, a Roussillon produced with the Solera process, adding different vintages and using oxidation to create the wine, quite different from Sherry that uses the same Solera process. Excellent with strong cheese.,2015 vintage,Good Rivesaltes, France. Bit like a sherry but more freshness! Hazel nuts and oxidaty. Yummie!"
Martini,Asti N.V.,Sparkling wine,Italy,3.8,19210,,100% Moscato Bianco,,"Mama Melrose's --Frances --HAPPY 40th. A gift 🎁 glass of wine from a nice lady who heard Claire and I talking about that our recent trip was in celebration of our 40th wedding 👰 anniversary.,4/5 , 91pts €18.95 Little Italy Dublin. Very light, crisp, elegant and sweet. A beautiful aperitif or desert wine. On the palate, honey, peach, apricot, pear and apple. Sláinte 🥂,I always avoided sparkling wines, but decision is made and I will explore this world. Any suggestions and comments, good or bad once, are welcome. Together we can learn more. I know that, correct me if I’m wrong, size and behaviour of the bubbles indicates quality of the sparkling wine. Asti is produced throughout south-eastern Piedmont, around the towns of Asti and Alba. It is made through the use of a single tank fermentation utilizing the Charmat method and it is produced from the aromatic Moscato..."
Markus Molitor,Mosel Alte Reben Riesling 2016,White wine,Germany,4.1,710,38.75,100% Riesling,11.5,"A dry and Mineral Mosel Riesling. Has a small touch of sweetness in it. Can go perfectly with a Sashimi or any kind of Crudo.,4.4 Pale lemon color Fantastic smell Fruity, a bit sweet, extremely long ending whiskey butter notes, butter qomqwat jam finish (small Chinese oranges). wow, that’s a great tasty and fun Riesling. 30 minutes and it is gone 😁😁😁 170NIS original price, 2 for 300NIS or 150NIS per bottle,Light yellow and white. In the nose lychee, lemon, grapefruit, patrol. In the mouth balanced, good acidity, fruity, dry"
Borgogno,No Name 2016,Red wine,Italy,4.2,987,35.99,100% Nebbiolo,14,"Absolutely fantastic! Full bodied, rich in tannins and gives a punch of flavour in a overall rich smell. Notes of leather, oak, raspberry and all the regular flavours you might expect but also gives you a taste of violet, truffles, figs and sage. Would probably benefit from ageing and then develop more earthy tones, but with a lot of air I would almost consider the wine to be close to perfection.,Cherry, cola, truffle, tar, leather, turned soil, dried violet, little bit of grilled meat on the nose. Red cherry, black cherry, leather, earth, cherry candy. Alcohol is somewhat out of balance I'd say. Great acid and high tannins. Really great wine!,Because this wine strayed outside of Barolo rules, this famed producer decided to release this wine as a protest. From 3 single vineyards including Cannubi, this wine is big and structured, full of old world extraction with savory note, ripe dusty red fruits, dark plum, red clay, Pu’er tea, fine grain but evident tanning with mouthwatering acidity to point to long aging potential. Very satisfying. After 3 hour decant, it’s still quite tight. Best after 2025. 92 points. Feb 2021"
Château d'Esclans,The Palm Whispering Angel Rosé 2020,Rosé wine,France,3.9,32,13.99,"Shiraz/Syrah, Grenache, Cinsault",12.5,"Made from Grenache, Cinsault and Carignan, this authentic Rosé from Provence operates as a playful, trendy, energetic ""little sister"" to Whispering Angel. The Palm is expressive both inside and out as it shows great aromatic freshness on the nose followed by more subtle, fruity notes on the palate. The colorful and playful label has been called ""almost as perfect as the Rosé itself."",Really good given it’s the basic rosé from Chateau d’Esclans. Good strawberries, light and crisp and a reasonable finish.,The safe entry level bet of Chateau d’Esclans, a great Provence property we’ve visited probably 15 years ago. Typical and true to the bone Provence Rose with the notable rose petals color, light to medium body persisting of strawberries and raspberries, good dazzling acidity and flowers finish. Every vintage of this one is guaranteed stable quality. 3.6-3.7⭐️👍 as always"
Ruffino,Sparkling Rosé N.V.,Sparkling wine,Italy,3.8,2521,12.99,"Pinot Noir, Glera",11,"I'm really enjoying this one! The bubbles are a bit coarse, it's off dry, but the flavor is fantastic! Tons of raspberry and strawberry with a touch of cranberry and citrus. Delightful on a warm day!,2018 vintage,2013 vintage"
Hendry,Hendry Vineyard Pinot Noir 2017,Red wine,United States,4.3,40,39.77,100% Pinot Noir,14.6,"One of my top two favorite Pinots! Boldness—medium Tannins-satin smooth Finish-medium Color-bright ruby red Nose-ripe red fruit Acidity-medium to high Oak—very present, but balanced 14.6% ABV 92 Points /100 Palate—ripe cherry and raspberries in the first layer, followed by mild vanilla and a tertiary layer of Herbaceous mushrooms with well-bakance oak. Highly recommended!!!,Hendry is one of my favorites. But when I saw pinot noir I questioned it. Brick red almost brown color. Almost aged looking. Dark berry nose, some fresh alcohol apparent, maybe some leather. Palate is delicious, light for sure, overripe strawberry, some mushroom, bright like a pinot but interesting almost like a sangiovese. I'm amazed hendry produces this frankly. It is not what I'd call a pinot. But as a pinot it's amazing.,A nice Pinot from Hendry. Light and bright. Hint of citrus, juicy cherry, a touch of cedar."
Bertani,Recioto della Valpolicella Valpantena 2010,Dessert wine,Italy,3.9,143,41.99,"Corvina, Rondinella, Molinara",,"16/20 very enjoyable after a meal. Good concentration and depth but not quite as intense as the best ones, very smooth though,I am not a great fan of the genre, but it did an excellent job with our Gorgonzola. Very concentrated, with cherry jam and dark chocolate. Very hot, creamy, voluminous. Tannins are there to be perceived, but fail to provide the refreshment my hippo soul screams for!,We drink this sweet cherry wine after dinner with red and black fruit with icecream, is very good"
Royal Tokaji,Late Harvest 2017,Dessert wine,Hungary,4.1,393,,"Hárslevelű, Furmint",11.5,"Beautiful wine - fresh, light and sweet. Very fruity - pear and citrus. With a bit of minerality and honey. Sweet yet not overwhelming.,A little sweet and straightforward when drank by itself, with cheese though it becomes delicious. Apricot, nectarine, pear, orange peel, honeysuckle and lots of honey,I’m so excited! Not a ton on the nose, but a lot on the tongue. Smelling some melons and lemons. Tastes of raisins and a slip n slide on a hot July day. I can taste that sunshine!"
Nizas,Languedoc Rosé 2017,Rosé wine,France,4.0,30,21.99,100% Grenache,,"Strawberry, ginger, lemon, minerals. Tons of minerals. And something floral (violet?). Very refreshing and crisp. Great rosé.,Strawberry, minerals, ginger, raspberry. All flavors are subtle and well balanced, nothing sticks out but the result is very tasty. Safe choice when you just want a great rosé.,Everything you would hope out of a good rose. Tried it next to a Provençal rose, but this one is notably more lively. Beyond some stone fruit perhaps peach or nectarine, you do get the strawberry notes to show up along with a good amount of floral and perfume."
Banfi,Rosa Regale 2020,Sparkling wine,Italy,3.9,25,18.35,100% Brachetto,7.5,"4.0 Zesty on the nose with strawberry cranberry orange bread yeast and butter. In the mouth you get a lot of fine bubbles that give a buttery feel. Cranberry is the front of this one. Very sweet with this one. Strawberry and vanilla cream. Light raspberry and just a hint of citrus in acidity. Very fun sparking to drink. I can't think of anyone that wouldn't enjoy this,So that’s wine,2019 vintage"
Sandeman,Original Rich Ruby Porto N.V.,Fortified Wine,Portugal,4.2,151,17.49,"Touriga Nacional, Touriga Franca, Tinta Roriz",,"Very decent port wine.,2008 vintage,2008 vintage"
Warre's,Late Bottled Vintage Port 2004,Fortified Wine,Portugal,4.1,596,31.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",20,"Arrrrrrooooo! Tail wagging good for this Port Hound in the GS LBV Port Challenge! Who says LBV Ports can’t age? This 14 year old is still well alive and kicking! A cornucopia of dried fruits, spices, and just a kick butt long finish. It only lacks a good nose to get better marks from me. 4.3/5 Stars. Oldest LBV in the GS Challenge???,Aroma is stuffed figs, plum and vanilla mocha. Th mouth is very ripe fruit and sweetly balanced grape jam. Love this sipper for dessert.,1st bottle corked. 2nd bottle splendid. Went really well with the Earl Grey Mousse in the airport lounge. Great end to a holiday and tanking up for a long haul."
Quinta de La Rosa,Late Bottled Vintage Port 2015,Fortified Wine,Portugal,3.6,70,29.99,"Cabernet Sauvignon, Malbec, Touriga Nacional, Cabernet Franc, Merlot, Petit Verdot, Touriga Franca, Tinta Roriz, Souzao",19.5,"Interesting nose with pine needles, vernis, forest, menthol, candied black fruit, cedar, new leather, licorice. Medium+ to high acidity, not too sweet.,92 points. Late bottled vintage 2015 opened in 2021. 👀The color is medium ruby. 👃The nose is offering vanilla, cherry, blackberry, green herbs and marzipan. 👅The palate is offering chocolate, green herbs, licorice and raisins. Medium minus tannins and medium plus acid. Very impressed about this lbv. This is vintage level. Great value for money.,no special aroma other than alcohol and flavour not as intense than that of other ports especially LBVs of same year but distilled to an enjoyable to point ""portness"" in a light body much lighter than other LBVs and so pleasantly unique and compensating for clearly less aromas and flavours of fresh complex fruit and slight oak than other LBVs"
Lini 910,Labrusca Lambrusco Bianco N.V.,Sparkling wine,Italy,4.0,1005,22.95,100% Lambrusco,11,"Black fruits, blackberries. Tart, white acidic and dry although acid drops off with blackberries and soft minerals. Tasty. Medium body,Refreshing nose of green apple with berry palate and brisk bubbles. Paired beautifully with cheese puffs and chips for a kickback aperitif.,2015 vintage"
Isotta Manzoni,Cuvée Emilia Rosé N.V.,Sparkling wine,Italy,4.2,45,,100% Pinot Noir,,"Feb 21 wine box. If we can find at this price buy. It’s decliosi.,Fresh and clean with hints of strawberries and cream on the nose. The palate is light and dry with flavors of red berries and a refreshing finish,Delicious medium-bodied sparkling rose! Light clear strawberry color and strawberry on the nose! A bright wine with a full moose of medium large bubbles and complex flavors of strawberry Earth and bread. the flavors are rather delicate but the is medium plus acidity and lends itself to a great fat-cutting brunch worthy Rose, delicious 4.0."
Catena Alta,Cabernet Sauvignon 2015,Red wine,Argentina,4.2,658,36.99,100% Cabernet Sauvignon,13.5,"Nice black cherry color! Tobacco on the nose with some dark fruit and chocolate! Acidic! With a long and silky finish! Some type of pepper! Cassis, smoke,Subtle yet powerful in its on way. A hint if that Argentinian spice with feminine flavors of New World Cabernet. Appropriate value, shows best with 6-8 years.,Full bodied with significant note of oak and vanilla are found. Very smooth due to refined tannins. Not to mention that strong plum. 4.5/5 I would say."
Clos de la Roilette,Cuvée Tardive Fleurie 2019,Dessert wine,France,4.1,196,28.99,100% Gamay,14,"First tried this producer on the night of a pre-pandemic WSET exam with Peter Obradovich. This vintage is still all killer and no filler with more florality than your Nan's British garden.,Kæmpe Beaujolais, the end,deep and amazing"
JCB (Jean-Charles Boisset),JCB No. 21 Brut (Burgundy) N.V.,Sparkling wine,France,3.9,1098,,"Pinot Noir, Chardonnay, Gamay",12,"A good bottle of bubbles that comes from Bourgogne. Elegant enough for a grown and sexy occasion yet also a great choice for a ladies brunch. Make sure you get a few bottles.,A creamy and complex budget bubbly, I absolutely enjoyed this one! Shared on the patio on a warm spring day with close friends, it would be difficult to think of a better pairing. My longer review is available at www.itheewine.com. Check it out and please let me know what you think of my new attempt at rating! Cheers!,Good sipping one here with great sparkle and easy texture with a mix of small fruit and a hint of yeast. Good for any occasion"
Château Guiraud,Petit Guiraud Sauternes 2010,Dessert wine,France,3.9,447,42.99,"Sauvignon Blanc, Sémillon",,"3.8 Fresh peach and cherry plum nose, sugar rounded palate, smooth body, when finish a bit bitterness. Good sweet dessert wine. RWC, general meeting, „España Blanca“, 25.08.2016, add-on,Just classic aromas of ripe peaches, spices of botrytis, dreid white stonefeuits, ripe lemon and honey. Medium sweet, med acidity. Balanced,Butter nectar, very gentle, mild and complex. Beautiful sweet wine. This vintage seems rather old, better to taste it more fresh) 3.8"
Domaine Serge Laloue,Marie Dulac Sancerre 2019,White wine,France,4.2,37,24.99,100% Sauvignon Blanc,12.5,"For the money this Sancerre is hard to beat. Refined and balanced perfectly it harmonizes the fruit with a crisp mouthfeel. Pale gold in color with notes of wet stone and candle wax Light bodied with a citrus fruit expression. Tight and tart mouthfeel that’s equally dry and acidic. Overall there plenty of fruit and the wine still finishes crisp. On the palate it’s pear, lemon zest , white peach and saline 91pts,Great Sancerre. Citric notes, apple. Very refreshing and crisp.,Dry and grapefruity"
Liquid Geography,Rosado 2019,Rosé wine,Spain,4.0,181,15.99,100% Mencia,12.5,"An interesting rosé. Apricot, citrus, a little floral note and to me biscuit on the back end. A bit of sweetness up front that trails to drier side.,An absolute delight. Bright crisp spicy floral barely pink rosé. This one draws you in and has a lovely smooth mid-palate through the lasting finish. Citrus is subtly present with a hint of strawberry thrown in too.,An interesting finish that lingers. Maybe it’s the peach flavor I detect? I really like it as it’s different from California roses."
Bodegas Argüeso,Las Medallas de Argüeso N.V.,Fortified Wine,Spain,3.4,107,18.99,100% Palomino,15,"Fresh bready aroma hints of raisins. Flavours follows through into refreshing dry and good finish; no bitterness at all. £7.5 from The Wine Society.,Spicy, lean. Mineral; round, not too complicated but nice earthy tone. 87,Had many over priced and I’ve hyped manzanilla sherry’s but this hits the spot perfectly as an ideal weekend aperitif- accompanied with aged manchengo"
Château Les Justices,Sauternes 2016,Dessert wine,France,4.1,25,24.99,"Sauvignon Blanc, Sémillon, Muscadelle",,"Light wheat color. Cedar, vanilla and buckwheat honey nose. Brown butter, caramel, deliciously sweet. Finish is surprisingly balanced with minerality so it’s not overpowering. Pairs well with chicken and herbs. On to 2021!,Luscious and absolutely delicious!!!,Very tasty basic sauternes."
H. M. Borges,Madeira Reserve 5 Years Old Medium Dry N.V.,Fortified Wine,Portugal,3.6,217,26.99,Tinta Negra Mole,,"(4,1) The not-often talked about Madeira is a great dessert wine. Smell of nuts, zest, oranges, raisins, walnuts, dates. Salinity. Lovely acidity. Raisins, dates, lemons, oranges, tangerines, apples and walnuts.,Rather 'fruity' style madeira with typical almond, caramel and toast in flavour and taste.,Pale brown Nutty on the nose Almond, coffee, not so dry High acidity Long finish"
Henriques & Henriques,Rainwater Madeira N.V.,Fortified Wine,Portugal,3.7,145,,Tinta Negra Mole,,"Medium amber. Nutty, alc, fig, caramel, peach, dried apricot, orange peel, coffee. Medium sweet, high acid, med alc, med+ finish.,Smooth, interesting, and delicious fortified wine. Caramel, hazelnut, toasted marshmallow, honey, and orange peel flavors. Two fun facts: 1) Madeira was the wine of choice by the American founding fathers. 2) Due to the process of making Madeira (fortification with Brandy, heating, and oxidation), an open bottle will virtually last forever 🇵🇹,No formal notes, but I just love it when Madeira is paired with a dish, in this case, milk bread with rock salt on top. Simple but well executed. Classic notes of caramel, nuts and butterscotch. At Alo Restaurant in Toronto."
Cakebread,Sauvignon Blanc 2018,White wine,United States,4.2,871,35.99,100% Sauvignon Blanc,,"4.4 Had been wanting to try this for a long time. Green apple, lemon, crisp yet still firm and bold. Notes of light tropical fruit and honeycomb.,I am a little biased after visiting the winery and having an excellent experience, but I definitely enjoy this Sauvignon Blanc.,3/26/21 The Vine $40. Grapefruit and lemon aromas. Grapefruit lemon and green apple flavors. Crisp with nice minerality. Very nice Sauvignon Blanc."
Sandeman,Fine Rich Madeira N.V.,Fortified Wine,Portugal,3.8,323,21,"Sercial, Touriga Francesa, Boal Branco, Tinta Negra Mole, Malvasia, Touriga Nacional, Tinta Barroca, Verdelho",17.5,"Fifty-six traitors signed a document 244 years ago that rocked the World. Those same men drank Madeira that evening knowing full well that they could be drawn and quartered the next day. Madeira a nearly indestructible wine was the only thing that could survive the long ship journey to the Americas. Those 56 men are like Madeira, indestructible in World History, ushering in Freedom and Liberty where only abuse from Government existed. Today, as on every 4th, we raise a glass to these brave patriots.,Great introductory example for those who have never had Madeira before, and a nice everyday drinker for those that are already fans. Brown in color, medium bodied and smooth mouthfeel. Aromas and flavors of hazelnuts, raisins, dried apricots and chocolate. Its sweetness is balanced with salivating acidity, and it finishes with raisins, caramel and coffee.,Fruit forward, notes of apricot, golden raisins, and plum. Sweet, buy not cloying. Good body. Great on its own or with a fine dessert."
Midnight Black Rosé,Italian Rosé 2017,Rosé wine,Italy,3.9,62,11.99,100% Lagrein,12.5,"Dry and fruity, pinkish orange color, medium acidity. Strawberry taste,Med body dry but not overly dry.,Strawberries, grassy, light and smooth"
Tenuta Sant'Antonio,Scaia Bianco (Garganega - Chardonnay) 2018,White wine,Italy,4.1,2557,16,"55% Garganega, 45% Chardonnay",12.5,"Birthday present from friends. Lovely dry white wine. Gold colored. Medium legs. Flowers on the nose. Melon and pear. Thumbs up.,Great fruity and dry summer wine. Full of citrus aromas, peach, tropical fruits and minerals. Great value and absolut recommendation.,4,2🌟...Nice white. Well balanced. Medium pleasant nose 👃, not so intensive like sav-blanc. Harmonically mineral finish.. Good QPR) Got it with langustino shrimps 🦐. Bought for 1000₽/14$ with discount)"
Buglioni,Il Disperato Bianco delle Venezie 2017,White wine,Italy,4.1,383,21.99,100% Garganega,12.5,"4.1 - pear, fruit sweetness, citrus, medium acidity.,Very nice. Quite aromatic and I could quite easily have mistaken it for a Sauvignon Blanc. I haven’t had a Soave in a while but I don’t remember them being as aromatic and fruity as this.,I rated the vintage of 2017 with half star less than the one of 2016. Medium nose of citrus and white flowers. Medium(-) body and high acidity, too high! Mouth very lemony. Long refreshing aftertaste. 86/100"
Domaine Hervé Azo,Chablis 2019,White wine,France,4.2,72,26.99,100% Chardonnay,,"green apple citrus minerals,Love it! Green apple and minerals, decent one from Chablis.,Fruity and mild, very drinkable. Great with cheese"
La Guita,En Rama N.V.,Fortified Wine,Spain,3.8,215,,100% Palomino,15,"The wine is a pale tawny gold color with complex and appealing bruised apple, chamomile, hazelnut, ocean spray, and nuanced floral aromas. On the palate it's between light and medium-bodied, dry, fresh and intense with a supple texture and bruised apple, citrus, saline flavors with nuanced mineral and iodine notes. Long finish 15% abv,Delicious sherry. Dry as a bone with bracing acidity, almond flavors with burnt orange peel in the background. Love the savory saline flavors.,2019 vintage"
Vanderpump,Rosé 2018,Rosé wine,France,3.8,509,21.99,100% Cinsault,,"Don’t let the name fool you, this Vanderpump...ahem...rules! Starts with soft apricot and lychee, and finishes sharp and dry.,Raspberry and strawberry with a dry finish. 13% alcohol, “mission accomplished. Great with Crab Cake 🦀 and Arroz com Meresco,Really surprising wine. I didn’t expect it to be as good as it was but I really enjoyed it. Sweeter than some from the region, but a nicer drier finish."
Luca,Old Vine Malbec 2017,Red wine,Argentina,4.3,1926,35,100% Malbec,14,"Malbec madness! Honesty one of the very best I have had, and at a super price! From the Catena family, offshoot winery from one of the daughters. High altitude Uco valley. Nose gives a hint of vanilla, blackberry, and herbs. Explodes on the palate and fills the entire thing with rich blackberry, blueberry, 🥧 crust, kitchen spice, cinnamon, vanilla and black licorice finish. Remains structured and refined. Altitude shows in minerality and brightness. This is a monster!,Beautiful soft flavors expressing wonderful fruit and just a hint of tannins. So good, drink now or lay it down, this is a beauty.,Smell: plum, blueberry, mushroom Taste: plum, blueberry, mushroom, tobacco, dry Comments: great, strong flavor and well balanced."
Famille Moutard,Champ Persin Côte des Bar Cépage Chardonnay Champagne N.V.,Sparkling wine,France,3.9,668,37.99,100% Chardonnay,12,"Scored it a 89/100 points on Social Vignerons. A Blanc de Blancs Champagne sparkling wine leaning towards a crisp acidic and mineral style, on the restrained and primary side of Chardonnay, revealing the intact characteristics of the fruit with very little influence from the winemaking. Great balance, concentration, and affirmed personality. Find full review on SocialVignerons.com Enjoy :-),A delicate bouquet offering citrus notes, tea and fresh hazelnuts. A Champagne with good weight and citrus notes through to a lingering finish.,Moderate yeasty notes, sweetness not apparent but it has a good balancing effect to the acidity. Love its fruity and fresh approach."
Amici,Cabernet Sauvignon 2018,Red wine,United States,4.2,567,,"Merlot, Cabernet Sauvignon, Cabernet Franc",14.5,"Inky black and complex with deep character yet silky tannins. Leather and dry oak and vanilla with notes of fig and cinnamon. Great Napa can.,Excellent wine! Absolutely spot on in what I love about Napa Valley Cabs! Sweet aromas of dark fruit and licorice on the nose and wonderful Res Cherry, Blackberry, leather and oak on the palate. Nice full bodied but still a nice smooth finish. Definitely buying more!,Fantastic Napa Cab from a winery that keeps doing it year after year. Price point is a bonus. A hint of charred oak on nose. Beginning of palate I get plum blackberry tobacco and a touch of black licorice. Finishes nice and dry with a flavor of raspberry. Like a little brother chasing his older siblings on bikes. Right when u think the race is done he shows up. Bravo"
Canvasback,Cabernet Sauvignon 2016,Red wine,United States,4.2,1275,30.72,100% Cabernet Sauvignon,14.5,"95% cab sauv/ 4% merlot/ 1% Cab franc Smoke, leather, and cassis on the nose. Huge cassis, blackberry, graphite, and dark plums. Beautifully made.,My first Washington state Cabernet and wow it’s delicious! Inky dark color with notes of plum, leather, blackberry, and black current.,Super Silky, rich red color. No aftertaste at all. Very meaty in the mouth. For the price it is a fantastic wine to have around"
Christian Moreau Pere & Fils,Chablis 2018,White wine,France,4.1,695,36.99,100% Chardonnay,12.5,"This is excellent! Silky smooth, with mineral and melon overtones. The acidity is well integrated, and the fruit rings true to the varietal. A really good Chablis.,Beautiful, crispy Chablis with a nose of minerals and citrus. Taste of citrus, apple, pear, honey and a very good complexity for this price range.,They produce 2 kinds of regional Chablis. 'Mis en bouteille par' and '~ au domaine par' I tried negotian version They buy grapes from two bordering villages : Fontenay-Près-Chablis, Béru. Aged 12 months in st. tank Lee contact Bottled in '19.5 green apple apricot citrus lemon zest minerals stone flint salt honey pineapple cream yeast High acidity but well rounded Dry Mid body minerals, citrus with honey, nutty finish Complex and balanced The best regional Chablis what i've tried so far www.letyk.com"
